station_id,ev_network,state,pred,confidence,label,evidence,primary_path,context_path
39873,Non-Networked,CA,no_shade,1.0,no_shade,"The center of the image shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure directly above the charger's location.",data-ev\data\images\primary\39873_primary_95b5de2d3b50.png,data-ev\data\images\context\39873_context_95b5de2d3b50.png
39989,IN_CHARGE,GA,no_shade,0.9,no_shade,"The center of the image shows a large, flat, featureless building roof, and the surrounding area is an open parking lot, indicating the charger is likely in the adjacent open parking.",data-ev\data\images\primary\39989_primary_73ab9d62895c.png,data-ev\data\images\context\39989_context_73ab9d62895c.png
49900,Non-Networked,NJ,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and painted parking stall lines, indicating no overhead man-made cover.",data-ev\data\images\primary\49900_primary_4c092ae9b3dc.png,data-ev\data\images\context\49900_context_4c092ae9b3dc.png
63047,POWERFLEX,CA,no_shade,0.9,no_shade,"The center of both images clearly shows an open road intersection with crosswalks and vehicles, indicating no man-made overhead cover.",data-ev\data\images\primary\63047_primary_dca1b73b4989.png,data-ev\data\images\context\63047_context_dca1b73b4989.png
74345,Non-Networked,MD,no_shade,1.0,no_shade,"The center of both images clearly shows an open area with a road, grass, and parked cars, with no man-made overhead structure visible.",data-ev\data\images\primary\74345_primary_b668215a27d5.png,data-ev\data\images\context\74345_context_b668215a27d5.png
101980,Tesla,AZ,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible parking stall lines and parked cars, with no man-made overhead cover.",data-ev\data\images\primary\101980_primary_0ecf89218e03.png,data-ev\data\images\context\101980_context_0ecf89218e03.png
101993,Tesla,AZ,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement, parking lines, and parked cars, with no man-made overhead structure.",data-ev\data\images\primary\101993_primary_9b7738bf56ab.png,data-ev\data\images\context\101993_context_9b7738bf56ab.png
102064,Tesla,CA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure or vegetation providing cover.",data-ev\data\images\primary\102064_primary_3666ae8e7ed7.png,data-ev\data\images\context\102064_context_3666ae8e7ed7.png
102098,Tesla,CT,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible parking lines and cars, indicating no man-made overhead cover.",data-ev\data\images\primary\102098_primary_c9095c2f8d0a.png,data-ev\data\images\context\102098_context_c9095c2f8d0a.png
102165,Tesla,IL,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parking lines, indicating no man-made overhead cover.",data-ev\data\images\primary\102165_primary_136bc1e29bf2.png,data-ev\data\images\context\102165_context_136bc1e29bf2.png
102183,Tesla,KS,shade_structure,0.9,shade_structure,"The center of the image shows a row of light-colored, rectangular man-made structures covering parking stalls, consistent with carports or a shade structure.",data-ev\data\images\primary\102183_primary_e817556ca3b5.png,data-ev\data\images\context\102183_context_e817556ca3b5.png
102408,Tesla,SD,uncertain,0.9,uncertain,"The images are extremely blurry and pixelated, making it impossible to discern any specific features like pavement, shade structures, solar panels, or garage elements at the center.",data-ev\data\images\primary\102408_primary_173d0778e58e.png,data-ev\data\images\context\102408_context_173d0778e58e.png
102415,Tesla,TN,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible cars and pavement, indicating no man-made overhead cover.",data-ev\data\images\primary\102415_primary_26bb2ec39a81.png,data-ev\data\images\context\102415_context_26bb2ec39a81.png
102431,Tesla,TX,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure, canopy, or garage covering the area.",data-ev\data\images\primary\102431_primary_c8c6a94f37ae.png,data-ev\data\images\context\102431_context_c8c6a94f37ae.png
102457,Tesla,UT,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parking stall lines, with no man-made overhead structure.",data-ev\data\images\primary\102457_primary_bb612b2cd280.png,data-ev\data\images\context\102457_context_bb612b2cd280.png
121790,Electrify America,MO,no_shade,1.0,no_shade,The center of both images clearly shows an open road and grassy areas with no visible man-made overhead structure.,data-ev\data\images\primary\121790_primary_fefa6d3d7e67.png,data-ev\data\images\context\121790_context_fefa6d3d7e67.png
121840,Electrify America,TX,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible cars and parking lines, with no man-made structure or vegetation directly overhead.",data-ev\data\images\primary\121840_primary_1949aff73913.png,data-ev\data\images\context\121840_context_1949aff73913.png
122271,Tesla,CO,shade_structure,1.0,shade_structure,"The center of the image shows a uniform, light-colored, rectangular roof covering parking stalls, casting a clear, straight-edged shadow, with no fine grid pattern.",data-ev\data\images\primary\122271_primary_e84eaa8cc33e.png,data-ev\data\images\context\122271_context_e84eaa8cc33e.png
122292,Tesla,MI,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement, parking lines, and vehicles, with no man-made structure or vegetation directly overhead.",data-ev\data\images\primary\122292_primary_c957ca36c6c3.png,data-ev\data\images\context\122292_context_c957ca36c6c3.png
143939,FLO,WA,no_shade,0.9,no_shade,"The center of the image shows a building roof, but the charger is presumed to be in the adjacent open parking lot which is exposed to the sky with no overhead cover.",data-ev\data\images\primary\143939_primary_b67be176fd91.png,data-ev\data\images\context\143939_context_b67be176fd91.png
147079,Electrify America,VA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible parking stalls and cars, with no man-made overhead cover.",data-ev\data\images\primary\147079_primary_029799326f0d.png,data-ev\data\images\context\147079_context_029799326f0d.png
149367,Tesla,IN,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible cars and pavement, with no man-made overhead structure, canopy, or building covering the area.",data-ev\data\images\primary\149367_primary_39e8ac7b66fe.png,data-ev\data\images\context\149367_context_39e8ac7b66fe.png
150207,Tesla,NY,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible cars and pavement, with no man-made overhead structure.",data-ev\data\images\primary\150207_primary_99d06a1a3905.png,data-ev\data\images\context\150207_context_99d06a1a3905.png
152450,Electrify America,NY,no_shade,0.9,no_shade,"The center of the image shows open pavement and vehicles, with no visible man-made canopy, solar panels, or parking structure directly overhead.",data-ev\data\images\primary\152450_primary_37be0cf5bb2f.png,data-ev\data\images\context\152450_context_37be0cf5bb2f.png
153166,Electrify America,CA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible cars and pavement, indicating no man-made overhead cover.",data-ev\data\images\primary\153166_primary_a0aa7a5d61a9.png,data-ev\data\images\context\153166_context_a0aa7a5d61a9.png
156442,FCN,OK,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement and parking lines, indicating no man-made overhead cover.",data-ev\data\images\primary\156442_primary_e80465d2b63b.png,data-ev\data\images\context\156442_context_e80465d2b63b.png
156586,FCN,OK,no_shade,1.0,no_shade,"The center of the image shows an open parking lot with visible parking stalls and cars, with no man-made overhead structure, canopy, or solar panels.",data-ev\data\images\primary\156586_primary_2d03002444c3.png,data-ev\data\images\context\156586_context_2d03002444c3.png
163651,SWTCH,MD,no_shade,0.9,no_shade,"The charger is located in a grassy area with no visible parking stalls or man-made overhead structures, indicating it is open to the sky.",data-ev\data\images\primary\163651_primary_b5c83ea7e2f0.png,data-ev\data\images\context\163651_context_b5c83ea7e2f0.png
164000,Tesla,KY,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with bare pavement and parked cars, with no visible man-made overhead structure.",data-ev\data\images\primary\164000_primary_4b794887d481.png,data-ev\data\images\context\164000_context_4b794887d481.png
167380,CHARGELAB,IA,uncertain,0.9,uncertain,"The charger is centered on the roof of a large commercial building, which is not a parking garage, and the adjacent parking lot contains both open spaces and a large shade structure, making it unclear if open parking is dominant.",data-ev\data\images\primary\167380_primary_3d439d1a1f42.png,data-ev\data\images\context\167380_context_3d439d1a1f42.png
167747,ChargePoint Network,GA,no_shade,0.9,no_shade,The center of the image shows an open parking lot with visible vehicles and no overhead man-made structure or canopy.,data-ev\data\images\primary\167747_primary_210a9db04131.png,data-ev\data\images\context\167747_context_210a9db04131.png
168129,ChargePoint Network,CA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement and parking lines, with no man-made overhead structure directly covering the charging stalls.",data-ev\data\images\primary\168129_primary_c3e1fd078f02.png,data-ev\data\images\context\168129_context_c3e1fd078f02.png
168275,Tesla,CT,no_shade,1.0,no_shade,"The center of both images clearly shows an open paved parking area with no man-made overhead structure, canopy, or garage visible directly above the charger location.",data-ev\data\images\primary\168275_primary_98aa4cb82419.png,data-ev\data\images\context\168275_context_98aa4cb82419.png
168281,Tesla,CA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement markings and parked cars, with no man-made overhead structure or vegetation covering the stalls.",data-ev\data\images\primary\168281_primary_71f42c9eb68a.png,data-ev\data\images\context\168281_context_71f42c9eb68a.png
170526,Tesla,WA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parking lines, indicating no overhead man-made structure.",data-ev\data\images\primary\170526_primary_ae738f010550.png,data-ev\data\images\context\170526_context_ae738f010550.png
171386,ChargePoint Network,MI,shade_structure,1.0,shade_structure,"The center of the image shows a light-colored, rectangular canopy with distinct markings, characteristic of a gas station shade structure, covering the area where the charger would be located.",data-ev\data\images\primary\171386_primary_f0528edf8f2e.png,data-ev\data\images\context\171386_context_f0528edf8f2e.png
171479,Electrify America,GA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking stall with visible pavement and parked cars, with no man-made overhead structure or vegetation directly covering it.",data-ev\data\images\primary\171479_primary_68875e396edf.png,data-ev\data\images\context\171479_context_68875e396edf.png
183302,ChargePoint Network,CA,shade_solar_pv,1.0,shade_solar_pv,"The center of the image shows a large, dark, rectangular structure with a distinct fine grid pattern, characteristic of solar photovoltaic panels covering the area.",data-ev\data\images\primary\183302_primary_c356cf4fee46.png,data-ev\data\images\context\183302_context_c356cf4fee46.png
183748,Electrify America,CA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement, parking lines, and cars, with no overhead man-made structure.",data-ev\data\images\primary\183748_primary_d9b43cc1aff9.png,data-ev\data\images\context\183748_context_d9b43cc1aff9.png
185099,Non-Networked,IN,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure.",data-ev\data\images\primary\185099_primary_dc38b626ec5d.png,data-ev\data\images\context\185099_context_dc38b626ec5d.png
185235,ChargePoint Network,GA,shade_structure,0.9,shade_structure,"The center of both images shows a light-colored, uniform rectangular canopy covering parking stalls, consistent with a shade structure and lacking the grid pattern of solar panels.",data-ev\data\images\primary\185235_primary_673a305c86de.png,data-ev\data\images\context\185235_context_673a305c86de.png
185576,ChargePoint Network,MI,shade_structure,1.0,shade_structure,"The charger is located directly under a large, light-colored, man-made canopy with a uniform roof, characteristic of a gas station or convenience store shade structure.",data-ev\data\images\primary\185576_primary_e50a2c20f756.png,data-ev\data\images\context\185576_context_e50a2c20f756.png
185583,Electrify America,CA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure, canopy, or building covering the area.",data-ev\data\images\primary\185583_primary_5103f1cfa2c4.png,data-ev\data\images\context\185583_context_5103f1cfa2c4.png
186951,ChargePoint Network,VA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement and parking stall lines, indicating no man-made overhead cover.",data-ev\data\images\primary\186951_primary_ea3055827658.png,data-ev\data\images\context\186951_context_ea3055827658.png
187166,Tesla,WA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement, parking lines, and cars, with no man-made structure overhead.",data-ev\data\images\primary\187166_primary_0a56182ac610.png,data-ev\data\images\context\187166_context_0a56182ac610.png
187907,Electrify America,NC,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible parking lines and cars, indicating no man-made overhead cover.",data-ev\data\images\primary\187907_primary_fafa8887e3f2.png,data-ev\data\images\context\187907_context_fafa8887e3f2.png
190414,Electrify America,CA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible cars and pavement, indicating no man-made overhead cover.",data-ev\data\images\primary\190414_primary_f9734c4e2f66.png,data-ev\data\images\context\190414_context_f9734c4e2f66.png
190433,Electrify America,CA,shade_solar_pv,0.9,shade_solar_pv,"The center of the image is covered by a dark blue/black surface with a fine regular grid texture, characteristic of solar photovoltaic panels on a rooftop.",data-ev\data\images\primary\190433_primary_3931b7480cee.png,data-ev\data\images\context\190433_context_3931b7480cee.png
192698,SWTCH,MD,no_shade,0.9,no_shade,"The center of the image is on a building roof, but the surrounding context shows an extensive open parking lot, indicating the charger is likely in the adjacent uncovered parking area as per the geocoding caveat.",data-ev\data\images\primary\192698_primary_a1405d311f45.png,data-ev\data\images\context\192698_context_a1405d311f45.png
194976,ChargePoint Network,CA,no_shade,0.9,no_shade,"The charger's geocoded location is on a large, flat, featureless building roof, indicating the actual charging stalls are likely in the adjacent open parking lot which has no overhead cover.",data-ev\data\images\primary\194976_primary_91ebe5637af1.png,data-ev\data\images\context\194976_context_91ebe5637af1.png
195778,Tesla,NC,no_shade,0.9,no_shade,"The center of the image shows an open parking lot next to dense tree cover, with no visible man-made overhead structure directly above the charger's likely location.",data-ev\data\images\primary\195778_primary_3a5152252bd0.png,data-ev\data\images\context\195778_context_3a5152252bd0.png
197707,ChargePoint Network,NC,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parked cars, with no man-made overhead structure.",data-ev\data\images\primary\197707_primary_18417ca2eff2.png,data-ev\data\images\context\197707_context_18417ca2eff2.png
197954,ChargePoint Network,NC,no_shade,0.9,no_shade,"The center of the image shows a large, flat, white commercial building roof with no cars, indicating the charger coordinates landed on a building, and the actual charger is likely in the adjacent open parking lot visible in the context image.",data-ev\data\images\primary\197954_primary_615f08ea4e99.png,data-ev\data\images\context\197954_context_615f08ea4e99.png
199062,EVCS,CA,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with pavement and parked cars, with no man-made overhead cover or structure directly above the charging area.",data-ev\data\images\primary\199062_primary_b7b7ff939e90.png,data-ev\data\images\context\199062_context_b7b7ff939e90.png
199137,ChargePoint Network,CO,no_shade,1.0,no_shade,"The center of the image clearly shows an open parking lot with visible pavement and parking stall lines, with no overhead man-made structure or vegetation covering it.",data-ev\data\images\primary\199137_primary_0047d86aa0d1.png,data-ev\data\images\context\199137_context_0047d86aa0d1.png
201311,Tesla,CA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with cars and pavement, with no man-made overhead cover, canopies, or structures directly above the charging stalls.",data-ev\data\images\primary\201311_primary_2929b05b6aba.png,data-ev\data\images\context\201311_context_2929b05b6aba.png
201423,Electrify America,WA,no_shade,1.0,no_shade,"The center of both images clearly shows an open parking lot with visible pavement and parked cars, with no man-made structure overhead.",data-ev\data\images\primary\201423_primary_b2df9e8440f6.png,data-ev\data\images\context\201423_context_b2df9e8440f6.png
206263,ZEFNET,MN,no_shade,0.9,no_shade,"The charger is geocoded onto a large, flat building roof with HVAC units, not a parking deck, and the surrounding context shows open parking lots where the charger is likely located.",data-ev\data\images\primary\206263_primary_94a7fd67e4ef.png,data-ev\data\images\context\206263_context_94a7fd67e4ef.png
